id;NAME;loc_cpos;loc_scpo;name_sin_cp
2820-0;"GUALEGUAYCHU (2820-0)";2820;0;"GUALEGUAYCHU"
2821-0;"PUEBLO GENERAL BELGRANO (2821-0)";2821;0;"PUEBLO GENERAL BELGRANO"
2823-0;"VILLA PARANACITO (2823-0)";2823;0;"VILLA PARANACITO"
2823-1;"CEIBAS (2823-1)";2823;1;"CEIBAS"
2826-0;"URDINARRAIN (2826-0)";2826;0;"URDINARRAIN"
2826-1;"ALDEA SAN ANTONIO (2826-1)";2826;1;"ALDEA SAN ANTONIO"
2828-0;"GILBERT (2828-0)";2828;0;"GILBERT"
2840-0;"GUALEGUAY (2840-0)";2840;0;"GUALEGUAY"
2843-0;"GENERAL GALARZA (2843-0)";2843;0;"GENERAL GALARZA"
2845-0;"GOBERNADOR MANSILLA (2845-0)";2845;0;"GOBERNADOR MANSILLA"
2845-1;"GOBERNADOR ECHAGUE (2845-1)";2845;1;"GOBERNADOR ECHAGUE"
2846-0;"IBICUY (2846-0)";2846;0;"IBICUY"
2852-0;"ENRIQUE CARBO (2852-0)";2852;0;"ENRIQUE CARBO"
2854-0;"LARROQUE (2854-0)";2854;0;"LARROQUE"
3100-0;"PARANA (3100-0)";3100;0;"PARANA"
3100-1;"ORO VERDE (3100-1)";3100;1;"ORO VERDE"
3100-2;"COLONIA AVELLANEDA (3100-2)";3100;2;"COLONIA AVELLANEDA"
3101-0;"ALDEA VALLE MARIA (3101-0)";3101;0;"ALDEA VALLE MARIA"
3101-1;"STROBEL (3101-1)";3101;1;"STROBEL"
3101-2;"ALDEA BRASILERA (3101-2)";3101;2;"ALDEA BRASILERA"
3101-3;"ALDEA SPATZENKUTTER (3101-3)";3101;3;"ALDEA SPATZENKUTTER"
3101-4;"ALDEA PROTESTANTE (3101-4)";3101;4;"ALDEA PROTESTANTE"
3101-5;"LAS CUEVAS (3101-5)";3101;5;"LAS CUEVAS"
3103-0;"VILLA LIBERTADOR SAN MARTÍN (3103-0)";3103;0;"VILLA LIBERTADOR SAN MARTÍN"
3105-0;"DIAMANTE (3105-0)";3105;0;"DIAMANTE"
3107-0;"SAN BENITO (3107-0)";3107;0;"SAN BENITO"
3109-0;"VIALE (3109-0)";3109;0;"VIALE"
3111-1;"TABOSSI (3111-1)";3111;1;"TABOSSI"
3111-2;"LAS TUNAS (3111-2)";3111;2;"LAS TUNAS"
3113-0;"CURTIEMBRE (3113-0)";3113;0;"CURTIEMBRE"
3113-1;"VILLA URQUIZA (3113-1)";3113;1;"VILLA URQUIZA"
3114-0;"ALDEA MARIA LUISA (3114-0)";3114;0;"ALDEA MARIA LUISA"
3114-1;"GDOR. ETCHEVEHERE (3114-1)";3114;1;"GDOR. ETCHEVEHERE"
3114-2;"ESTACION RACEDO (3114-2)";3114;2;"ESTACION RACEDO"
3116-0;"CRESPO (3116-0)";3116;0;"CRESPO"
3117-0;"VILLA SEGUI (3117-0)";3117;0;"VILLA SEGUI"
3118-0;"LA PICADA (3118-0)";3118;0;"LA PICADA"
3118-1;"COLONIA NUEVA (3118-1)";3118;1;"COLONIA NUEVA"
3122-0;"CERRITO (3122-0)";3122;0;"CERRITO"
3125-0;"PUEBLO BRUGO (3125-0)";3125;0;"PUEBLO BRUGO"
3127-0;"HERNANDARIAS (3127-0)";3127;0;"HERNANDARIAS"
3129-0;"PIEDRAS BLANCAS (3129-0)";3129;0;"PIEDRAS BLANCAS"
3132-0;"ESTACION EL PINGO (3132-0)";3132;0;"ESTACION EL PINGO"
3133-0;"MARIA GRANDE (3133-0)";3133;0;"MARIA GRANDE"
3134-0;"HASENKAMP (3134-0)";3134;0;"HASENKAMP"
3138-0;"ALCARAZ (3138-0)";3138;0;"ALCARAZ"
3142-0;"BOVRIL (3142-0)";3142;0;"BOVRIL"
3142-1;"COLONIA AVIGDOR (3142-1)";3142;1;"COLONIA AVIGDOR"
3144-0;"SAUCE DE LUNA (3144-0)";3144;0;"SAUCE DE LUNA"
3150-0;"NOGOYA (3150-0)";3150;0;"NOGOYA"
3151-0;"ANTELO (3151-0)";3151;0;"ANTELO"
3153-0;"VICTORIA (3153-0)";3153;0;"VICTORIA"
3154-0;"* VICTORIA (3154-0) CP INC";3154;0;"* VICTORIA"
3156-0;"HERNANDEZ (3156-0)";3156;0;"HERNANDEZ"
3158-0;"LUCAS GONZALEZ (3158-0)";3158;0;"LUCAS GONZALEZ"
3162-0;"ARANGUREN (3162-0)";3162;0;"ARANGUREN"
3164-0;"GENERAL RAMIREZ (3164-0)";3164;0;"GENERAL RAMIREZ"
3170-0;"BASAVILBASO (3170-0)";3170;0;"BASAVILBASO"
3170-1;"ESTACION LIBAROS (3170-1)";3170;1;"ESTACION LIBAROS"
3170-2;"ESTACION URQUIZA (3170-2)";3170;2;"ESTACION URQUIZA"
3174-0;"ROSARIO DEL TALA (3174-0)";3174;0;"ROSARIO DEL TALA"
3176-0;"GOBERNADOR SOLA (3176-0)";3176;0;"GOBERNADOR SOLA"
3177-0;"MACIA (3177-0)";3177;0;"MACIA"
3177-1;"ESTACION DURAZNO (3177-1)";3177;1;"ESTACION DURAZNO"
3180-0;"FEDERAL (3180-0)";3180;0;"FEDERAL"
3183-0;"LOS CONQUISTADORES (3183-0)";3183;0;"LOS CONQUISTADORES"
3185-0;"S.J.DE LA FRONTERA (3185-0)";3185;0;"S.J.DE LA FRONTERA"
3187-0;"SAN JOSÉ DE FELICIANO (3187-0)";3187;0;"SAN JOSÉ DE FELICIANO"
3188-0;"CONSCRIPTO BERNARDO (3188-0)";3188;0;"CONSCRIPTO BERNARDO"
3190-0;"LA PAZ (3190-0)";3190;0;"LA PAZ"
3191-0;"SAN GUSTAVO (3191-0)";3191;0;"SAN GUSTAVO"
3192-0;"SANTA ELENA (3192-0)";3192;0;"SANTA ELENA"
3200-0;"CONCORDIA (3200-0)";3200;0;"CONCORDIA"
3201-0;"VILLA ADELA (3201-0)";3201;0;"VILLA ADELA"
3201-1;"PUERTO YERUA (3201-1)";3201;1;"PUERTO YERUA"
3201-2;"VILLA ZORRAQUIN (3201-2)";3201;2;"VILLA ZORRAQUIN"
3201-3;"COLONIA YERUA (3201-3)";3201;3;"COLONIA YERUA"
3203-0;"CALABACILLA (3203-0)";3203;0;"CALABACILLA"
3204-0;"COLONIA AYUI (3204-0)";3204;0;"COLONIA AYUI"
3206-0;"FEDERACION (3206-0)";3206;0;"FEDERACION"
3208-0;"SANTA ANA (3208-0)";3208;0;"SANTA ANA"
3212-0;"LOS CHARRUAS (3212-0)";3212;0;"LOS CHARRUAS"
3212-1;"LA CRIOLLA (3212-1)";3212;1;"LA CRIOLLA"
3212-2;"OSVALDO  MAGNASCO (3212-2)";3212;2;"OSVALDO  MAGNASCO"
3216-0;"GRAL.CAMPOS (3216-0)";3216;0;"GRAL.CAMPOS"
3218-0;"SAN SALVADOR (3218-0)";3218;0;"SAN SALVADOR"
3228-0;"CHAJARI (3228-0)";3228;0;"CHAJARI"
3229-0;"VILLA DEL ROSARIO (3229-0)";3229;0;"VILLA DEL ROSARIO"
3240-0;"VILLAGUAY (3240-0)";3240;0;"VILLAGUAY"
3240-1;"ESTACION LAS MOSCAS (3240-1)";3240;1;"ESTACION LAS MOSCAS"
3246-0;"VILLA DOMINGUEZ (3246-0)";3246;0;"VILLA DOMINGUEZ"
3248-0;"SANTA ANITA (3248-0)";3248;0;"SANTA ANITA"
3248-1;"SAN MARCIAL (3248-1)";3248;1;"SAN MARCIAL"
3252-0;"VILLA CLARA (3252-0)";3252;0;"VILLA CLARA"
3254-0;"JUBILEO (3254-0)";3254;0;"JUBILEO"
3260-0;"CONCEP.DEL URUGUAY (3260-0)";3260;0;"CONCEP.DEL URUGUAY"
3260-1;"VILLA SAN JUSTO (3260-1)";3260;1;"VILLA SAN JUSTO"
3261-0;"COLONIA ELIA (3261-0)";3261;0;"COLONIA ELIA"
3262-0;"ESTACION CASEROS (3262-0)";3262;0;"ESTACION CASEROS"
3263-0;"PRONUNCIAMIENTO (3263-0)";3263;0;"PRONUNCIAMIENTO"
3263-1;"COLONIA 1º DE MAYO (3263-1)";3263;1;"COLONIA 1º DE MAYO"
3265-0;"VILLA ELISA (3265-0)";3265;0;"VILLA ELISA"
3269-0;"SAN MIGUEL (3269-0)";3269;0;"SAN MIGUEL"
3269-1;"LA CLARITA (3269-1)";3269;1;"LA CLARITA"
3269-2;"ARROYO BARU (3269-2)";3269;2;"ARROYO BARU"
3272-0;"HERRERA (3272-0)";3272;0;"HERRERA"
3272-1;"VILLA MANTERO (3272-1)";3272;1;"VILLA MANTERO"
3280-0;"COLON (3280-0)";3280;0;"COLON"
3283-0;"SAN JOSE (3283-0)";3283;0;"SAN JOSE"
3283-1;"EL BRILLANTE (3283-1)";3283;1;"EL BRILLANTE"
3287-0;"UBAJAY (3287-0)";3287;0;"UBAJAY"
