er_loc_cpos;er_loc_scpo;er_name;er_name_sin_cp;tbl_loc_cpos;tbl_loc_scpo;tbl_name;tbl_name_sin_cp
2823;0;CEIBAS (2823-0);CEIBAS;2823;0;VILLA PARANACITO (2823-0);VILLA PARANACITO
2823;1;VILLA PARANACITO (2823-1);VILLA PARANACITO;2823;1;CEIBAS (2823-1);CEIBAS
2823;2;FAUSTINO M. PARERA (2823-2);FAUSTINO M. PARERA;2823;0;VILLA PARANACITO (2823-0);VILLA PARANACITO
2823;2;FAUSTINO M. PARERA (2823-2);FAUSTINO M. PARERA;2823;1;CEIBAS (2823-1);CEIBAS
2826;0;PASTOR BRITOS (2826-0);PASTOR BRITOS;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;0;PASTOR BRITOS (2826-0);PASTOR BRITOS;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;2;URDINARRAIN (2826-2);URDINARRAIN;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2826;3;ALDEA SAN JUAN (2826-3);ALDEA SAN JUAN;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;3;ALDEA SAN JUAN (2826-3);ALDEA SAN JUAN;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2828;0;ESTACIÓN ESCRIÑA (2828-0);ESTACIÓN ESCRIÑA;2828;0;GILBERT (2828-0);GILBERT
2840;1;ESTACIÓN LAZO (2840-1);ESTACIÓN LAZO;2840;0;GUALEGUAY (2840-0);GUALEGUAY
2840;2;PUERTO RUIZ (2840-2);PUERTO RUIZ;2840;0;GUALEGUAY (2840-0);GUALEGUAY
2845;0;GOBERNADOR MANSILLA (2845-0);GOBERNADOR MANSILLA;2845;1;GOBERNADOR ECHAGUE (2845-1);GOBERNADOR ECHAGUE
2845;1;GOBERNADOR ECHAGUE (2845-1);GOBERNADOR ECHAGUE;2845;0;GOBERNADOR MANSILLA (2845-0);GOBERNADOR MANSILLA
2852;0;IRAZUSTA (2852-0);IRAZUSTA;2852;0;ENRIQUE CARBO (2852-0);ENRIQUE CARBO
3100;0;PARANA (3100-0);PARANA;3100;1;ORO VERDE (3100-1);ORO VERDE
3100;0;PARANA (3100-0);PARANA;3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA
3100;1;ORO VERDE (3100-1);ORO VERDE;3100;0;PARANA (3100-0);PARANA
3100;1;ORO VERDE (3100-1);ORO VERDE;3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA
3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA;3100;0;PARANA (3100-0);PARANA
3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA;3100;1;ORO VERDE (3100-1);ORO VERDE
3101;0;ALDEA PROTESTANTE (3101-0);ALDEA PROTESTANTE;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;0;ALDEA PROTESTANTE (3101-0);ALDEA PROTESTANTE;3101;1;STROBEL (3101-1);STROBEL
3101;0;ALDEA PROTESTANTE (3101-0);ALDEA PROTESTANTE;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;0;ALDEA PROTESTANTE (3101-0);ALDEA PROTESTANTE;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;0;ALDEA PROTESTANTE (3101-0);ALDEA PROTESTANTE;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;1;ALDEA SPATZENKUTTER (3101-1);ALDEA SPATZENKUTTER;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;1;ALDEA SPATZENKUTTER (3101-1);ALDEA SPATZENKUTTER;3101;1;STROBEL (3101-1);STROBEL
3101;1;ALDEA SPATZENKUTTER (3101-1);ALDEA SPATZENKUTTER;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;1;ALDEA SPATZENKUTTER (3101-1);ALDEA SPATZENKUTTER;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;1;ALDEA SPATZENKUTTER (3101-1);ALDEA SPATZENKUTTER;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;1;STROBEL (3101-1);STROBEL
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;2;PUERTO LAS CUEVAS (3101-2);PUERTO LAS CUEVAS;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;3;STROBEL (3101-3);STROBEL;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;3;STROBEL (3101-3);STROBEL;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;3;STROBEL (3101-3);STROBEL;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;3;STROBEL (3101-3);STROBEL;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;3;STROBEL (3101-3);STROBEL;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;1;STROBEL (3101-1);STROBEL
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;4;ALDEA SALTO (3101-4);ALDEA SALTO;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;1;STROBEL (3101-1);STROBEL
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;5;ALDEA SAN FRANCISCO (3101-5);ALDEA SAN FRANCISCO;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;1;STROBEL (3101-1);STROBEL
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;6;COLONIA ENSAYO (3101-6);COLONIA ENSAYO;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;1;STROBEL (3101-1);STROBEL
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;7;GENERAL ALVEAR (3101-7);GENERAL ALVEAR;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;1;STROBEL (3101-1);STROBEL
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;8;LA JUANITA (3101-8);LA JUANITA;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;1;STROBEL (3101-1);STROBEL
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;9;LAS JAULAS (3101-9);LAS JAULAS;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;1;STROBEL (3101-1);STROBEL
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;10;PARAJE LA VIRGEN (3101-10);PARAJE LA VIRGEN;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;11;ALDEA VALLE MARIA (3101-11);ALDEA VALLE MARIA;3101;1;STROBEL (3101-1);STROBEL
3101;11;ALDEA VALLE MARIA (3101-11);ALDEA VALLE MARIA;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;11;ALDEA VALLE MARIA (3101-11);ALDEA VALLE MARIA;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;11;ALDEA VALLE MARIA (3101-11);ALDEA VALLE MARIA;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;11;ALDEA VALLE MARIA (3101-11);ALDEA VALLE MARIA;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;12;ALDEA BRASILERA (3101-12);ALDEA BRASILERA;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;12;ALDEA BRASILERA (3101-12);ALDEA BRASILERA;3101;1;STROBEL (3101-1);STROBEL
3101;12;ALDEA BRASILERA (3101-12);ALDEA BRASILERA;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;12;ALDEA BRASILERA (3101-12);ALDEA BRASILERA;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;12;ALDEA BRASILERA (3101-12);ALDEA BRASILERA;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;0;ALDEA VALLE MARIA (3101-0);ALDEA VALLE MARIA
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;1;STROBEL (3101-1);STROBEL
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;2;ALDEA BRASILERA (3101-2);ALDEA BRASILERA
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;3;ALDEA SPATZENKUTTER (3101-3);ALDEA SPATZENKUTTER
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;4;ALDEA PROTESTANTE (3101-4);ALDEA PROTESTANTE
3101;13;MOLINO DOLL (3101-13);MOLINO DOLL;3101;5;LAS CUEVAS (3101-5);LAS CUEVAS
3107;1;SAUCE PINTO (3107-1);SAUCE PINTO;3107;0;SAN BENITO (3107-0);SAN BENITO
3109;0;QUEBRACHO (3109-0);QUEBRACHO;3109;0;VIALE (3109-0);VIALE
3109;1;EL RAMBLÓN (3109-1);EL RAMBLÓN;3109;0;VIALE (3109-0);VIALE
3111;0;LAS TUNAS (3111-0);LAS TUNAS;3111;1;TABOSSI (3111-1);TABOSSI
3111;1;TABOSSI (3111-1);TABOSSI;3111;2;LAS TUNAS (3111-2);LAS TUNAS
3113;0;PUEBLO GENERAL SAN MARTÍN (CURTIEMBRE) (3113-0);PUEBLO GENERAL SAN MARTÍN;3113;0;CURTIEMBRE (3113-0);CURTIEMBRE
3113;0;PUEBLO GENERAL SAN MARTÍN (CURTIEMBRE) (3113-0);PUEBLO GENERAL SAN MARTÍN;3113;1;VILLA URQUIZA (3113-1);VILLA URQUIZA
3113;1;VILLA URQUIZA (3113-1);VILLA URQUIZA;3113;0;CURTIEMBRE (3113-0);CURTIEMBRE
3114;0;GENERAL RACEDO (EL CARMEN) (ESTACIÓN RACEDO) (3114-0);GENERAL RACEDO;3114;0;ALDEA MARIA LUISA (3114-0);ALDEA MARIA LUISA
3114;0;GENERAL RACEDO (EL CARMEN) (ESTACIÓN RACEDO) (3114-0);GENERAL RACEDO;3114;1;GDOR. ETCHEVEHERE (3114-1);GDOR. ETCHEVEHERE
3114;0;GENERAL RACEDO (EL CARMEN) (ESTACIÓN RACEDO) (3114-0);GENERAL RACEDO;3114;2;ESTACION RACEDO (3114-2);ESTACION RACEDO
3114;1;ALDEA GRAPSCHENTAL (3114-1);ALDEA GRAPSCHENTAL;3114;0;ALDEA MARIA LUISA (3114-0);ALDEA MARIA LUISA
3114;1;ALDEA GRAPSCHENTAL (3114-1);ALDEA GRAPSCHENTAL;3114;1;GDOR. ETCHEVEHERE (3114-1);GDOR. ETCHEVEHERE
3114;1;ALDEA GRAPSCHENTAL (3114-1);ALDEA GRAPSCHENTAL;3114;2;ESTACION RACEDO (3114-2);ESTACION RACEDO
