er_loc_cpos;er_loc_scpo;er_name;er_name_sin_cp;tbl_loc_cpos;tbl_loc_scpo;tbl_name;tbl_name_sin_cp
3114;2;VILLA GDOR. LUIS F. ETCHEVEHERE (3114-2);VILLA GDOR. LUIS F. ETCHEVEHERE;3114;0;ALDEA MARIA LUISA (3114-0);ALDEA MARIA LUISA
3114;2;VILLA GDOR. LUIS F. ETCHEVEHERE (3114-2);VILLA GDOR. LUIS F. ETCHEVEHERE;3114;1;GDOR. ETCHEVEHERE (3114-1);GDOR. ETCHEVEHERE
3114;2;VILLA GDOR. LUIS F. ETCHEVEHERE (3114-2);VILLA GDOR. LUIS F. ETCHEVEHERE;3114;2;ESTACION RACEDO (3114-2);ESTACION RACEDO
3114;3;ALDEA MARIA LUISA (3114-3);ALDEA MARIA LUISA;3114;1;GDOR. ETCHEVEHERE (3114-1);GDOR. ETCHEVEHERE
3114;3;ALDEA MARIA LUISA (3114-3);ALDEA MARIA LUISA;3114;2;ESTACION RACEDO (3114-2);ESTACION RACEDO
3114;4;VILLA FONTANA (3114-4);VILLA FONTANA;3114;0;ALDEA MARIA LUISA (3114-0);ALDEA MARIA LUISA
3114;4;VILLA FONTANA (3114-4);VILLA FONTANA;3114;1;GDOR. ETCHEVEHERE (3114-1);GDOR. ETCHEVEHERE
3114;4;VILLA FONTANA (3114-4);VILLA FONTANA;3114;2;ESTACION RACEDO (3114-2);ESTACION RACEDO
3116;0;ESPINILLO NORTE (3116-0);ESPINILLO NORTE;3116;0;CRESPO (3116-0);CRESPO
3116;1;ALDEA CHALECO (3116-1);ALDEA CHALECO;3116;0;CRESPO (3116-0);CRESPO
3116;2;ALDEA SANTA ROSA (3116-2);ALDEA SANTA ROSA;3116;0;CRESPO (3116-0);CRESPO
3117;0;SEGUI (3117-0);SEGUI;3117;0;VILLA SEGUI (3117-0);VILLA SEGUI
3118;0;COLONIA NUEVA (3118-0);COLONIA NUEVA;3118;0;LA PICADA (3118-0);LA PICADA
3118;1;LA PICADA (3118-1);LA PICADA;3118;1;COLONIA NUEVA (3118-1);COLONIA NUEVA
3118;2;COLONIA CRESPO (3118-2);COLONIA CRESPO;3118;0;LA PICADA (3118-0);LA PICADA
3118;2;COLONIA CRESPO (3118-2);COLONIA CRESPO;3118;1;COLONIA NUEVA (3118-1);COLONIA NUEVA
3118;3;SAUCE MONTRULL (3118-3);SAUCE MONTRULL;3118;0;LA PICADA (3118-0);LA PICADA
3118;3;SAUCE MONTRULL (3118-3);SAUCE MONTRULL;3118;1;COLONIA NUEVA (3118-1);COLONIA NUEVA
3122;0;EL PALENQUE (3122-0);EL PALENQUE;3122;0;CERRITO (3122-0);CERRITO
3127;1;PUERTO ALGARROBO (3127-1);PUERTO ALGARROBO;3127;0;HERNANDARIAS (3127-0);HERNANDARIAS
3133;1;SOSA (3133-1);SOSA;3133;0;MARIA GRANDE (3133-0);MARIA GRANDE
3142;0;COLONIA AVIGDOR (3142-0);COLONIA AVIGDOR;3142;0;BOVRIL (3142-0);BOVRIL
3142;1;BOVRIL (3142-1);BOVRIL;3142;1;COLONIA AVIGDOR (3142-1);COLONIA AVIGDOR
3142;2;SIR LEONARD (3142-2);SIR LEONARD;3142;0;BOVRIL (3142-0);BOVRIL
3142;2;SIR LEONARD (3142-2);SIR LEONARD;3142;1;COLONIA AVIGDOR (3142-1);COLONIA AVIGDOR
3150;1;ESTACIÓN CAMPS (3150-1);ESTACIÓN CAMPS;3150;0;NOGOYA (3150-0);NOGOYA
3151;1;FEBRÉ (3151-1);FEBRÉ;3151;0;ANTELO (3151-0);ANTELO
3156;1;BETBEDER (3156-1);BETBEDER;3156;0;HERNANDEZ (3156-0);HERNANDEZ
3158;0;20 DE SEPTIEMBRE (3158-0);20 DE SEPTIEMBRE;3158;0;LUCAS GONZALEZ (3158-0);LUCAS GONZALEZ
3164;1;DON CRISTÓBAL (3164-1);DON CRISTÓBAL;3164;0;GENERAL RAMIREZ (3164-0);GENERAL RAMIREZ
3170;0;BASAVILBASO (3170-0);BASAVILBASO;3170;1;ESTACION LIBAROS (3170-1);ESTACION LIBAROS
3170;0;BASAVILBASO (3170-0);BASAVILBASO;3170;2;ESTACION URQUIZA (3170-2);ESTACION URQUIZA
3170;1;ESTACION LIBAROS (3170-1);ESTACION LIBAROS;3170;0;BASAVILBASO (3170-0);BASAVILBASO
3170;1;ESTACION LIBAROS (3170-1);ESTACION LIBAROS;3170;2;ESTACION URQUIZA (3170-2);ESTACION URQUIZA
3170;2;ESTACION URQUIZA (3170-2);ESTACION URQUIZA;3170;0;BASAVILBASO (3170-0);BASAVILBASO
3170;2;ESTACION URQUIZA (3170-2);ESTACION URQUIZA;3170;1;ESTACION LIBAROS (3170-1);ESTACION LIBAROS
3174;0;ALTAMIRANO SUR (3174-0);ALTAMIRANO SUR;3174;0;ROSARIO DEL TALA (3174-0);ROSARIO DEL TALA
3174;1;LAS GUACHAS (3174-1);LAS GUACHAS;3174;0;ROSARIO DEL TALA (3174-0);ROSARIO DEL TALA
3177;0;MACIA (3177-0);MACIA;3177;1;ESTACION DURAZNO (3177-1);ESTACION DURAZNO
3177;1;ESTACION DURAZNO (3177-1);ESTACION DURAZNO;3177;0;MACIA (3177-0);MACIA
3177;2;ESTACIÓN RAÍCES (3177-2);ESTACIÓN RAÍCES;3177;0;MACIA (3177-0);MACIA
3177;2;ESTACIÓN RAÍCES (3177-2);ESTACIÓN RAÍCES;3177;1;ESTACION DURAZNO (3177-1);ESTACION DURAZNO
3185;0;SAN JAIME DE LA FRONTERA (3185-0);SAN JAIME DE LA FRONTERA;3185;0;S.J.DE LA FRONTERA (3185-0);S.J.DE LA FRONTERA
3188;0;CONSCRIPTO BERNARDI (3188-0);CONSCRIPTO BERNARDI;3188;0;CONSCRIPTO BERNARDO (3188-0);CONSCRIPTO BERNARDO
3188;1;ALDEA SAN ISIDRO (EL CIMARRÓN) (3188-1);ALDEA SAN ISIDRO;3188;0;CONSCRIPTO BERNARDO (3188-0);CONSCRIPTO BERNARDO
3191;0;SAN VÍCTOR (3191-0);SAN VÍCTOR;3191;0;SAN GUSTAVO (3191-0);SAN GUSTAVO
3192;1;EL COLORADO (3192-1);EL COLORADO;3192;0;SANTA ELENA (3192-0);SANTA ELENA
3201;0;COLONIA YERUA (ESTACIÓN YERUÁ) (3201-0);COLONIA YERUA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;0;COLONIA YERUA (ESTACIÓN YERUÁ) (3201-0);COLONIA YERUA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;0;COLONIA YERUA (ESTACIÓN YERUÁ) (3201-0);COLONIA YERUA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;1;VILLA ZORRAQUIN (3201-1);VILLA ZORRAQUIN;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;1;VILLA ZORRAQUIN (3201-1);VILLA ZORRAQUIN;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;1;VILLA ZORRAQUIN (3201-1);VILLA ZORRAQUIN;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;2;PUERTO YERUA (3201-2);PUERTO YERUA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;2;PUERTO YERUA (3201-2);PUERTO YERUA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;2;PUERTO YERUA (3201-2);PUERTO YERUA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;3;VILLA ADELA (3201-3);VILLA ADELA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;3;VILLA ADELA (3201-3);VILLA ADELA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;3;VILLA ADELA (3201-3);VILLA ADELA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3203;0;PEDERNAL (3203-0);PEDERNAL;3203;0;CALABACILLA (3203-0);CALABACILLA
3203;1;CLODOMIRO LEDESMA (3203-1);CLODOMIRO LEDESMA;3203;0;CALABACILLA (3203-0);CALABACILLA
3203;3;BENITO LEGERÉN (3203-3);BENITO LEGERÉN;3203;0;CALABACILLA (3203-0);CALABACILLA
3206;0;FEDERACIÓN (3206-0);FEDERACIÓN;3206;0;FEDERACION (3206-0);FEDERACION
3206;1;COLONIA LA ARGENTINA (3206-1);COLONIA LA ARGENTINA;3206;0;FEDERACION (3206-0);FEDERACION
3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;2;LA CRIOLLA (3212-2);LA CRIOLLA;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;2;LA CRIOLLA (3212-2);LA CRIOLLA;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3216;0;GENERAL CAMPOS (3216-0);GENERAL CAMPOS;3216;0;GRAL.CAMPOS (3216-0);GRAL.CAMPOS
3228;1;COLONIA ALEMANA (3228-1);COLONIA ALEMANA;3228;0;CHAJARI (3228-0);CHAJARI
3228;2;LA FLORIDA (COLONIA OFICIAL Nº1) (3228-2);LA FLORIDA;3228;0;CHAJARI (3228-0);CHAJARI
3228;3;COLONIA CELINA (3228-3);COLONIA CELINA;3228;0;CHAJARI (3228-0);CHAJARI
3229;0;COLONIA PEÑA (3229-0);COLONIA PEÑA;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3229;1;SAN PEDRO (COLONIA FREITAS) (3229-1);SAN PEDRO;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3229;2;SAN RAMÓN (3229-2);SAN RAMÓN;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3240;0;VILLAGUAY (3240-0);VILLAGUAY;3240;1;ESTACION LAS MOSCAS (3240-1);ESTACION LAS MOSCAS
3240;1;ESTACION LAS MOSCAS (3240-1);ESTACION LAS MOSCAS;3240;0;VILLAGUAY (3240-0);VILLAGUAY
3246;0;INGENIERO MIGUEL SAJAROFF (3246-0);INGENIERO MIGUEL SAJAROFF;3246;0;VILLA DOMINGUEZ (3246-0);VILLA DOMINGUEZ
3248;0;SANTA ANITA (3248-0);SANTA ANITA;3248;1;SAN MARCIAL (3248-1);SAN MARCIAL
3248;1;VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1);VILLA SAN MARCIAL;3248;0;SANTA ANITA (3248-0);SANTA ANITA
3248;1;VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1);VILLA SAN MARCIAL;3248;1;SAN MARCIAL (3248-1);SAN MARCIAL
3260;0;VILLA SAN JUSTO (3260-0);VILLA SAN JUSTO;3260;0;CONCEP.DEL URUGUAY (3260-0);CONCEP.DEL URUGUAY
3260;1;CONCEPCION DEL URUGUAY (3260-1);CONCEPCION DEL URUGUAY;3260;0;CONCEP.DEL URUGUAY (3260-0);CONCEP.DEL URUGUAY
3260;1;CONCEPCION DEL URUGUAY (3260-1);CONCEPCION DEL URUGUAY;3260;1;VILLA SAN JUSTO (3260-1);VILLA SAN JUSTO
3263;0;PRONUNCIAMIENTO (3263-0);PRONUNCIAMIENTO;3263;1;COLONIA 1º DE MAYO (3263-1);COLONIA 1º DE MAYO
3263;1;COLONIA 1º DE MAYO (3263-1);COLONIA 1º DE MAYO;3263;0;PRONUNCIAMIENTO (3263-0);PRONUNCIAMIENTO
3265;0;HOCKER (3265-0);HOCKER;3265;0;VILLA ELISA (3265-0);VILLA ELISA
3269;0;LA CLARITA (3269-0);LA CLARITA;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;0;LA CLARITA (3269-0);LA CLARITA;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3269;1;ARROYO BARU (3269-1);ARROYO BARU;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;1;ARROYO BARU (3269-1);ARROYO BARU;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3269;3;HAMBIS (3269-3);HAMBIS;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;3;HAMBIS (3269-3);HAMBIS;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;3;HAMBIS (3269-3);HAMBIS;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3272;0;VILLA MANTERO (3272-0);VILLA MANTERO;3272;0;HERRERA (3272-0);HERRERA
3272;1;ESTACION HERRERA (3272-1);ESTACION HERRERA;3272;0;HERRERA (3272-0);HERRERA
3272;1;ESTACION HERRERA (3272-1);ESTACION HERRERA;3272;1;VILLA MANTERO (3272-1);VILLA MANTERO
3283;0;EL BRILLANTE (3283-0);EL BRILLANTE;3283;0;SAN JOSE (3283-0);SAN JOSE
3283;1;PUEBLO LIEBIG'S (3283-1);PUEBLO LIEBIG'S;3283;0;SAN JOSE (3283-0);SAN JOSE
3283;1;PUEBLO LIEBIG'S (3283-1);PUEBLO LIEBIG'S;3283;1;EL BRILLANTE (3283-1);EL BRILLANTE
3283;2;SAN JOSE (3283-2);SAN JOSE;3283;1;EL BRILLANTE (3283-1);EL BRILLANTE
